CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,OR10G7,2F7,,HRH3,1A9
,,,,,,OR12D2,2D12,,HRH3,1D9
,,,,,,OR12D2,2C6,,HRH3,1A12
,,,,,,OR12D2,2B6,,HRH3,1E6
,,,,,,OR12D3,1D2,,HRH3,1G12
,,,,,,OR12D3,2H2,,HRH3,1G9
,,,,,,OR12D3,1D4,,HRH3,2B9
,,,,,,OR12D3,2H4,,MAS1L,6A7
,,,,,,OR12D3,1G4,,MAS1L,6B1
,,,,,,OR12D3,3A10,,MAS1L,6B7
,,,,,,OR12D3,1E10,,MAS1L,6C1
,,,,,,OR12D3,1H10,,MAS1L,6D7
,,,,,,OR12D3,2E4,,MAS1L,6E1
,,,,,,OR12D3,2F10,,MAS1L,6E7
,,,,,,OR12D3,1E8,,MAS1L,6F1
,,,,,,OR12D3,1G2,,MAS1L,7E7
,,,,,,OR12D3,2E2,,MAS1L,7F1
,,,,,,OR12D3,2F8,,MAS1L,7F7
,,,,,,OR12D3,3A8,,MAS1L,7G1
,,,,,,OR14A2,3B1,,MAS1L,7H7
,,,,,,OR14A2,3B5,,MAS1L,3E1
,,,,,,OR1E1,2B3,,MAS1L,3E7
,,,,,,OR1E1,2E3,,MAS1L,3F1
,,,,,,OR1E1,2B1,,MAS1L,6A10
,,,,,,OR1E1,2B2,,MAS1L,6B4
,,,,,,OR1E1,2E2,,MAS1L,6B10
,,,,,,OR1E1,2E1,,MAS1L,6C4
,,,,,,OR2A2,2D5,,MAS1L,6D10
,,,,,,OR2B6,9H11,,MAS1L,6E4
,,,,,,OR2D3,1D9,,MAS1L,6E10
,,,,,,OR2D3,2B9,,MAS1L,6F4
,,,,,,OR2D3,1D11,,MAS1L,7E10
,,,,,,OR2D3,2B11,,MAS1L,7F4
,,,,,,OR2T29,1A2,,MAS1L,7F10
,,,,,,OR2T29,1B2,,MAS1L,7G4
,,,,,,OR2T29,1H2,,MAS1L,7H10
,,,,,,OR2T29,2A2,,MAS1L,3E4
,,,,,,OR2T29,1B8,,MAS1L,3E10
,,,,,,OR2T29,1C2,,MAS1L,3F4
,,,,,,OR2T29,1G2,,MAS1L,6A12
,,,,,,OR2T29,1H8,,MAS1L,6B6
,,,,,,OR4A16 ,11D1,,MAS1L,6B12
,,,,,,OR4C5,1F10,,MAS1L,6C6
,,,,,,OR4C5,1F12,,MAS1L,6D12
,,,,,,OR4D11,1B7,,MAS1L,6E6
,,,,,,OR4D11,1C1,,MAS1L,6E12
,,,,,,OR4D11,1E7,,MAS1L,6F6
,,,,,,OR4D11,1F1,,MAS1L,7E12
,,,,,,OR4D11,3A7,,MAS1L,7F6
,,,,,,OR4D11,3B1,,MAS1L,7F12
,,,,,,OR4D11,1B11,,MAS1L,7G6
,,,,,,OR4D11,1C5,,MAS1L,7H12
,,,,,,OR4D11,1E11,,MAS1L,3E6
,,,,,,OR4D11,1F5,,MAS1L,3E12
,,,,,,OR4D11,3A11,,MAS1L,3F6
,,,,,,OR4D11,3B5,,MC2R,6B6
,,,,,,OR4N2,6B4,,MC2R,6H6
,,,,,,OR4N2,6C4,,MC2R,2D11
,,,,,,OR4N2,6C10,,MRGPR,1H1
,,,,,,OR4N2,6H4,,MRGPR,1E3
,,,,,,OR4N2,7A4,,MRGPR,1F3
,,,,,,OR4N2,7A10,,MRGPR,1F9
,,,,,,OR4N2,7C4,,MRGPR,2F9
,,,,,,OR4N2,7D4,,MRGPR,2G9
,,,,,,OR4N2,7D10,,MRGPR,3A3
,,,,,,OR4N2,3E4,,MRGPR,1E4
,,,,,,OR4N2,3F4,,MRGPR,1E10
,,,,,,OR4N2,3F10,,MRGPR,1F4
,,,,,,OR4N2,6B5,,MRGPR,1F10
,,,,,,OR4N2,6C5,,MRGPR,1H4
,,,,,,OR4N2,6C11,,MRGPR,1H10
,,,,,,OR4N2,6H5,,MRGPR,2A4
,,,,,,OR4N2,7A11,,MRGPR,2A10
,,,,,,OR4N2,7C5,,MRGPR,2F4
,,,,,,OR4N2,7D5,,MRGPR,2F10
,,,,,,OR4N2,7D11,,MRGPR,2G4
,,,,,,OR4N2,3F5,,MRGPR,2G10
,,,,,,OR4N2,7A5,,MRGPR,2H10
,,,,,,OR4N2,3E5,,MRGPR,3A4
,,,,,,OR4N2,3F11,,MRGPR,3A10
,,,,,,OR51D1,1H3,,MRGPR,3B4
,,,,,,OR51D1,3A3,,MRGPR,3B10
,,,,,,OR51D1,3B3,,MRGPR,1G12
,,,,,,OR51D1,1B3,,MRGPR,1H6
,,,,,,OR51D1,1E3,,MRGPR,2A12
,,,,,,OR51D1,1F3,,MRGPR,2F1
,,,,,,OR51D1,2A3,,MRGPR,2G1
,,,,,,OR51D1,1C3,,MRGPR,2H7
,,,,,,OR51S1,1C12,,MRGPR,3B1
,,,,,,OR51S1,3B12,,MRGPR,1E9
,,,,,,OR51S1,3A12,,MRGPR,3A9
,,,,,,OR51S1,1B12,,MRGPR,3B9
,,,,,,OR56B1,6G1,,MRGPR,1D10
,,,,,,OR56B1,6H7,,MRGPR,1G10
,,,,,,OR56B1,7A1,,MRGPR,2E10
,,,,,,OR56B1,7B1,,MRGPR,1D12
,,,,,,OR56B1,7B7,,MRGPR,1F6
,,,,,,OR56B1,7C7,,MRGPR,1H12
,,,,,,OR56B1,7D1,,MRGPR,2A6
,,,,,,OR56B1,6G7,,MRGPR,2E12
,,,,,,OR5A2,1E9,,MRGPR,2F6
,,,,,,OR5A2,1E8,,MRGPR,2G6
,,,,,,OR5A2,1H9,,MRGPR,2H12
,,,,,,OR5A2,2C9,,MRGPR,3B6
,,,,,,OR5A2,1H8,,MRGPR,1D7
,,,,,,OR5A2,2C8,,MRGPR,1E1
,,,,,,OR5A2,1E7,,MRGPR,1F1
,,,,,,OR5A2,1H7,,MRGPR,1G7
,,,,,,OR5A2,2C7,,MRGPR,2A7
,,,,,,OR5AS1,1B9,,MRGPR,2E7
,,,,,,OR5AS1,1H9,,MRGPR,2F7
,,,,,,OR5AS1,1B10,,MRGPR,3A1
,,,,,,OR5AS1,2C9,,MRGPR,1E6
,,,,,,OR5AS1,1H11,,MRGPR,1E12
,,,,,,OR5AS1,1B8,,MRGPR,1F12
,,,,,,OR5AS1,1H10,,MRGPR,2F12
,,,,,,OR5AS1,2C10,,MRGPR,3A6
,,,,,,OR5AS1,1B11,,MRGPR,1F7
,,,,,,OR5AS1,2C11,,MRGPR,1H7
,,,,,,OR5AS1,2C8,,MRGPR,2A1
,,,,,,OR5C1,2H3,,MRGPR,2G7
,,,,,,OR5C1,2H6,,MRGPR,3A7
,,,,,,OR5D13,6G7,,MRGPR,2G12
,,,,,,OR5D13,6H1,,MRGPR,3A12
,,,,,,OR5L1,1F10,,MRGPR,1E7
,,,,,,OR5L1,2A10,,MRGPR,3B7
,,,,,,OR5L1,2D10,,MRGPR,3B12
,,,,,,OR5L1,2G10,,MRGPRX2,6C8
,,,,,,OR5L1,1F12,,MRGPRX2,6C9
,,,,,,OR5L1,2A7,,MRGPRX2,6C10
,,,,,,OR5L1,2D7,,MRGPRX2,1D9
,,,,,,OR5L1,2G7,,MRGPRX2,1G9
,,,,,,OR5L1,1E10,,MRGPRX2,1H3
,,,,,,OR5L1,1H10,,MRGPRX2,1H9
,,,,,,OR5L1,2C10,,MRGPRX2,2A3
,,,,,,OR5L1,2F10,,MRGPRX2,2A9
,,,,,,OR5L1,1F11,,MRGPRX2,2E9
,,,,,,OR5L1,2A11,,MRGPRX2,2F3
,,,,,,OR5L1,2D11,,MRGPRX2,2G3
,,,,,,OR5L1,2G11,,MRGPRX2,2H9
,,,,,,OR5L1,1E12,,MRGPRX2,3B3
,,,,,,OR5L1,2A12,,NPBWR1,2G11
,,,,,,OR5L1,2D12,,NPBWR1,2G5
,,,,,,OR5L1,2G12,,OR10G2,6H8
,,,,,,OR5L1,1E7,,OR10G2,7A8
,,,,,,OR5L1,1F7,,OR10J4,6G8
,,,,,,OR5L1,1H7,,OR10J4,6D8
,,,,,,OR5L1,2C7,,OR10J4,7E8
,,,,,,OR5L1,2F7,,OR10J4,7E9
,,,,,,OR5L1,1E11,,OR10J4,6G10
,,,,,,OR5L1,1H11,,OR10J4,6D9
,,,,,,OR5L1,2C11,,OR10J4,6G9
,,,,,,OR5L1,2F11,,OR10J4,7E10
,,,,,,OR5L1,1H12,,OR10J4,6D10
,,,,,,OR5L1,2C12,,OR10J4,6G10
,,,,,,OR5L1,2F12,,OR10K1,6F7
,,,,,,OR5T2,6G3,,OR10K1,7B7
,,,,,,OR5T2,7A3,,OR10K1,7C7
,,,,,,OR5T2,7G3,,OR10K1,7D7
,,,,,,OR5T2,6G5,,OR10K1,6D8
,,,,,,OR5T2,7A5,,OR10K1,6E8
,,,,,,OR5T2,7E5,,OR10K1,6F2
,,,,,,OR5T2,7G5,,OR10K1,6F8
,,,,,,OR5T2,7E3,,OR10K1,7B8
,,,,,,OR6C70,6H8,,OR10K1,7C8
,,,,,,OR6C70,3E8,,OR10K1,7D8
,,,,,,OR6C74,7C11,,OR10K1,7E8
,,,,,,OR6C74,7D11,,OR10K1,7H8
,,,,,,OR8B12,1H2,,OR10K1,3E8
,,,,,,OR8B12,2F2,,OR10K1,3F8
,,,,,,OR8B12,1G4,,OR10K1,6D9
,,,,,,OR8B12,1H4,,OR10K1,6E9
,,,,,,OR8B12,2B4,,OR10K1,6F3
,,,,,,OR8B12,2F4,,OR10K1,6F9
,,,,,,OR8B12,1G2,,OR10K1,7B9
,,,,,,OR8B12,2C2,,OR10K1,7C9
,,,,,,OR8B12,2C4,,OR10K1,7D3
,,,,,,OR8B12,2E4,,OR10K1,7D9
,,,,,,OR8B12,2B2,,OR10K1,7E9
,,,,,,OR8B12,2E2,,OR10K1,7F9
,,,,,,OR8B3,2G4,,OR10K1,7G3
,,,,,,OR8B3,2F2,,OR10K1,7G9
,,,,,,OR8B3,1B4,,OR10K1,3E9
,,,,,,OR8B3,1C4,,OR10K1,6F10
,,,,,,OR8B3,2D4,,OR10K1,7B10
,,,,,,OR8B3,2F4,,OR10K1,7C10
,,,,,,OR8B3,2D2,,OR10K1,7D4
,,,,,,OR8B3,2G2,,OR10K1,7D10
,,,,,,OR8B3,2C4,,OR10K1,7G10
,,,,,,OR8B3,1C2,,OR10K1,6D7
,,,,,,OR8B3,1B2,,OR10K1,7D1
,,,,,,OR8B3,2C2,,OR10K1,7G7
,,,,,,OR8D4,2F1,,OR10K1,7D2
,,,,,,OR8D4,2E1,,OR10K1,7F8
,,,,,,OR8D4,2G7,,OR10K1,7G2
,,,,,,OR8D4,2E7,,OR10K1,7G8
,,,,,,P2RY1,3A8,,OR10K1,3F2
,,,,,,P2RY1,2F7,,OR10K1,7H9
,,,,,,P2RY1,3A7,,OR10K1,3F3
,,,,,,P2RY1,1H8,,OR10K1,3F9
,,,,,,P2RY1,1E7,,OR10K1,6F4
,,,,,,P2RY1,1H7,,OR10K1,7G4
,,,,,,P2RY10,1D5,,OR10K1,3E10
,,,,,,P2RY10,1F11,,OR10K1,3F10
,,,,,,P2RY10,1F5,,OR10K1,6E7
,,,,,,P2RY10,1E11,,OR10K1,6F1
,,,,,,PTAFR,3B12,,OR10K1,7H7
,,,,,,PTGIR,1D6,,OR10K1,7F10
,,,,,,PTGIR,1D12,,OR10K1,7H10
,,,,,,PTGIR,3B12,,OR10K1,3F4
,,,,,,PTGIR,1F6,,OR10K1,7E7
,,,,,,PTGIR,1F12,,OR10K1,6E10
,,,,,,PTGIR,2E6,,OR10K1,7F7
,,,,,,PTGIR,2F6,,OR10K1,7G1
,,,,,,PTGIR,2G12,,OR10K1,3E7
,,,,,,PTGIR,2H12,,OR10K1,6D10
,,,,,,PTGIR,3A6,,OR10K1,3F7
,,,,,,PTGIR,3A12,,OR10K1,7E10
,,,,,,PTGIR,2G6,,OR10K1,3F1
,,,,,,PTGIR,2H6,,OR10T2,2D8
,,,,,,PTGIR,3B6,,OR10T2,2B2
,,,,,,PTGIR,1E6,,OR10T2,2D2
,,,,,,PTGIR,1E12,,OR11H12,2C2
,,,,,,PTGIR,2E12,,OR11H12,2C5
,,,,,,PTGIR,2F12,,OR11H12,2D5
,,,,,,QRFPR,1A7,,OR11H12,2D2
,,,,,,QRFPR,2E7,,OR11H2,2B8
,,,,,,S1PR2,9G7,,OR11H2,2G8
,,,,,,S1PR4,3A2,,OR11H2,2H8
,,,,,,S1PR4,2C2,,OR11H2,1A10
,,,,,,S1PR5,7E6,,OR11H2,2B10
,,,,,,S1PR5,2A6,,OR11H2,2C10
,,,,,,S1PR5,1A6,,OR11H2,2D10
,,,,,,S1PR5,1C6,,OR11H2,2F10
,,,,,,S1PR5,1G6,,OR11H2,2G4
,,,,,,S1PR5,2B6,,OR11H2,2G10
,,,,,,S1PR5,2D6,,OR11H2,2H10
,,,,,,S1PR5,1B12,,OR11H2,3B10
,,,,,,S1PR5,1H12,,OR11H2,1A8
,,,,,,S1PR5,2C12,,OR11H2,2E8
,,,,,,TAS2R31,3A1,,OR11H2,2G2
,,,,,,TAS2R31,1H5,,OR11H2,3B8
,,,,,,TAS2R31,2F5,,OR11H2,1B10
,,,,,,TAS2R31,3A5,,OR11H2,2D4
,,,,,,TAS2R31,1H6,,OR11H2,3A10
,,,,,,TAS2R31,2F6,,OR11H2,3B4
,,,,,,TAS2R31,3A6,,OR11H2,1C8
,,,,,,TAS2R31,1E1,,OR11H2,2D8
,,,,,,TAS2R31,1H1,,OR11H2,2F8
,,,,,,TAS2R31,2F1,,OR11H2,3B2
,,,,,,TAS2R31,1B5,,OR11H2,1C4
,,,,,,TAS2R31,1E5,,OR11H2,1C10
,,,,,,TAS2R31,1B6,,OR11H2,2E10
,,,,,,TAS2R31,1E6,,OR11H2,3A8
,,,,,,TAS2R31,1B1,,OR11H2,1B8
,,,,,,TAS2R38,3B10,,OR11H2,1C2
,,,,,,TAS2R38,3B12,,OR11H2,2D2
,,,,,,TAS2R38,3B9,,OR11H2,2C8
,,,,,,TAS2R7,2B5,,OR13C5,6H1
,,,,,,TAS2R7,2B11,,OR13C5,7A1
,,,,,,,,,OR13C5,7C1
,,,,,,,,,OR13C5,7D1
,,,,,,,,,OR13C5,6H2
,,,,,,,,,OR13C5,7A2
,,,,,,,,,OR13C5,7C2
,,,,,,,,,OR13C5,7D2
,,,,,,,,,OR13C5,3E2
,,,,,,,,,OR13C5,3F2
,,,,,,,,,OR13C5,6H6
,,,,,,,,,OR13C5,7A6
,,,,,,,,,OR13C5,7C6
,,,,,,,,,OR13C5,7D6
,,,,,,,,,OR13C5,3E6
,,,,,,,,,OR13C5,3F6
,,,,,,,,,OR13C5,3E1
,,,,,,,,,OR13C5,3F1
,,,,,,,,,OR13C9,1H5
,,,,,,,,,OR13C9,1G11
,,,,,,,,,OR13C9,1H6
,,,,,,,,,OR13C9,1G12
,,,,,,,,,OR13D1,3F7
,,,,,,,,,OR13D1,3E7
,,,,,,,,,OR14A16,6B1
,,,,,,,,,OR14A16,6B4
,,,,,,,,,OR14J1,6F5
,,,,,,,,,OR14J1,7A5
,,,,,,,,,OR14J1,3F5
,,,,,,,,,OR14J1,6F6
,,,,,,,,,OR14J1,7A6
,,,,,,,,,OR14J1,7A2
,,,,,,,,,OR14J1,3F6
,,,,,,,,,OR14J1,6F2
,,,,,,,,,OR14J1,3F2
,,,,,,,,,OR14K1,1C1
,,,,,,,,,OR14K1,1C7
,,,,,,,,,OR14K1,2A1
,,,,,,,,,OR14K1,2A7
,,,,,,,,,OR1A1,1D3
,,,,,,,,,OR1A1,1E3
,,,,,,,,,OR1A1,1E9
,,,,,,,,,OR1A1,1F9
,,,,,,,,,OR1A1,2B3
,,,,,,,,,OR1A1,2C3
,,,,,,,,,OR1A1,2C9
,,,,,,,,,OR1A1,2D9
,,,,,,,,,OR1A1,3A3
,,,,,,,,,OR1A1,2C1
,,,,,,,,,OR1A1,2D7
,,,,,,,,,OR1A1,1D2
,,,,,,,,,OR1A1,2C2
,,,,,,,,,OR1A1,2D8
,,,,,,,,,OR1A1,2H2
,,,,,,,,,OR1A1,2H3
,,,,,,,,,OR1A1,3A9
,,,,,,,,,OR1A1,3B9
,,,,,,,,,OR1A1,2B5
,,,,,,,,,OR1A1,2C5
,,,,,,,,,OR1A1,2C11
,,,,,,,,,OR1A1,2D11
,,,,,,,,,OR1A1,2H5
,,,,,,,,,OR1A1,2C6
,,,,,,,,,OR1A1,2D12
,,,,,,,,,OR1A1,1E1
,,,,,,,,,OR1A1,2B1
,,,,,,,,,OR1A1,2C7
,,,,,,,,,OR1A1,2H1
,,,,,,,,,OR1A1,3A1
,,,,,,,,,OR1A1,1E2
,,,,,,,,,OR1A1,1E8
,,,,,,,,,OR1A1,1F8
,,,,,,,,,OR1A1,2B2
,,,,,,,,,OR1A1,2C8
,,,,,,,,,OR1A1,3A2
,,,,,,,,,OR1A1,3A8
,,,,,,,,,OR1A1,3B8
,,,,,,,,,OR1A1,1D5
,,,,,,,,,OR1A1,1E5
,,,,,,,,,OR1A1,1E11
,,,,,,,,,OR1A1,1F11
,,,,,,,,,OR1A1,3A5
,,,,,,,,,OR1A1,3A11
,,,,,,,,,OR1A1,3B11
,,,,,,,,,OR1A1,1D6
,,,,,,,,,OR1A1,1E6
,,,,,,,,,OR1A1,1E12
,,,,,,,,,OR1A1,1F12
,,,,,,,,,OR1A1,2B6
,,,,,,,,,OR1A1,2C12
,,,,,,,,,OR1A1,2H6
,,,,,,,,,OR1A1,3A6
,,,,,,,,,OR1A1,1D1
,,,,,,,,,OR1A1,1E7
,,,,,,,,,OR1A1,1F7
,,,,,,,,,OR1A1,3A7
,,,,,,,,,OR1A1,3A12
,,,,,,,,,OR1A1,3B7
,,,,,,,,,OR1A1,3B12
,,,,,,,,,OR1C1,1G3
,,,,,,,,,OR1C1,1A3
,,,,,,,,,OR1C1,1B9
,,,,,,,,,OR1C1,1D3
,,,,,,,,,OR1C1,2B3
,,,,,,,,,OR1C1,2B4
,,,,,,,,,OR1C1,2H4
,,,,,,,,,OR1C1,1A2
,,,,,,,,,OR1C1,1D2
,,,,,,,,,OR1C1,2H2
,,,,,,,,,OR1C1,1H9
,,,,,,,,,OR1C1,2C9
,,,,,,,,,OR1C1,2D3
,,,,,,,,,OR1C1,2H3
,,,,,,,,,OR1C1,3B3
,,,,,,,,,OR1C1,2C10
,,,,,,,,,OR1C1,1A5
,,,,,,,,,OR1C1,1G5
,,,,,,,,,OR1C1,1H11
,,,,,,,,,OR1C1,2B5
,,,,,,,,,OR1C1,2H5
,,,,,,,,,OR1C1,1G2
,,,,,,,,,OR1C1,2B2
,,,,,,,,,OR1C1,3B2
,,,,,,,,,OR1C1,1C3
,,,,,,,,,OR1C1,2A3
,,,,,,,,,OR1C1,1A4
,,,,,,,,,OR1C1,1B10
,,,,,,,,,OR1C1,1D4
,,,,,,,,,OR1C1,1E10
,,,,,,,,,OR1C1,1G4
,,,,,,,,,OR1C1,2D4
,,,,,,,,,OR1C1,3A10
,,,,,,,,,OR1C1,3B4
,,,,,,,,,OR1C1,1B11
,,,,,,,,,OR1C1,1D5
,,,,,,,,,OR1C1,2C11
,,,,,,,,,OR1C1,2D5
,,,,,,,,,OR1C1,3B5
,,,,,,,,,OR1C1,1B8
,,,,,,,,,OR1C1,1C2
,,,,,,,,,OR1C1,1H8
,,,,,,,,,OR1C1,2A2
,,,,,,,,,OR1C1,2C8
,,,,,,,,,OR1C1,2D2
,,,,,,,,,OR1C1,3A8
,,,,,,,,,OR1C1,1E9
,,,,,,,,,OR1C1,1F3
,,,,,,,,,OR1C1,3A9
,,,,,,,,,OR1C1,1C4
,,,,,,,,,OR1C1,1F4
,,,,,,,,,OR1C1,1H10
,,,,,,,,,OR1C1,2A4
,,,,,,,,,OR1C1,1E11
,,,,,,,,,OR1C1,1F5
,,,,,,,,,OR1C1,2A5
,,,,,,,,,OR1C1,3A11
,,,,,,,,,OR1C1,1E8
,,,,,,,,,OR1C1,1F2
,,,,,,,,,OR1C1,1C5
,,,,,,,,,OR1L3,1G11
,,,,,,,,,OR1L3,1H11
,,,,,,,,,OR1L3,1D3
,,,,,,,,,OR1L3,1G3
,,,,,,,,,OR1L3,2E4
,,,,,,,,,OR1L3,1G5
,,,,,,,,,OR1L3,2B11
,,,,,,,,,OR1L3,2H11
,,,,,,,,,OR1L3,1D6
,,,,,,,,,OR1L3,1G6
,,,,,,,,,OR1L3,2C9
,,,,,,,,,OR1L3,2E3
,,,,,,,,,OR1L3,2F9
,,,,,,,,,OR1L3,1G4
,,,,,,,,,OR1L3,2B4
,,,,,,,,,OR1L3,2G4
,,,,,,,,,OR1L3,2H4
,,,,,,,,,OR1L3,1D11
,,,,,,,,,OR1L3,2C11
,,,,,,,,,OR1L3,2E5
,,,,,,,,,OR1L3,2E11
,,,,,,,,,OR1L3,2F11
,,,,,,,,,OR1L3,3B5
,,,,,,,,,OR1L3,1H12
,,,,,,,,,OR1L3,2H6
,,,,,,,,,OR1L3,3B6
,,,,,,,,,OR1L3,1H9
,,,,,,,,,OR1L3,2B3
,,,,,,,,,OR1L3,2D3
,,,,,,,,,OR1L3,2E9
,,,,,,,,,OR1L3,2G3
,,,,,,,,,OR1L3,2H3
,,,,,,,,,OR1L3,3A9
,,,,,,,,,OR1L3,3B3
,,,,,,,,,OR1L3,1D4
,,,,,,,,,OR1L3,1G10
,,,,,,,,,OR1L3,1H10
,,,,,,,,,OR1L3,2A4
,,,,,,,,,OR1L3,2C10
,,,,,,,,,OR1L3,2D4
,,,,,,,,,OR1L3,2F10
,,,,,,,,,OR1L3,3B4
,,,,,,,,,OR1L3,1D5
,,,,,,,,,OR1L3,2A5
,,,,,,,,,OR1L3,2B5
,,,,,,,,,OR1L3,2D5
,,,,,,,,,OR1L3,2G5
,,,,,,,,,OR1L3,2H5
,,,,,,,,,OR1L3,3A11
,,,,,,,,,OR1L3,1D12
,,,,,,,,,OR1L3,1E12
,,,,,,,,,OR1L3,1F6
,,,,,,,,,OR1L3,2B6
,,,,,,,,,OR1L3,2B12
,,,,,,,,,OR1L3,2D6
,,,,,,,,,OR1L3,2E6
,,,,,,,,,OR1L3,2E12
,,,,,,,,,OR1L3,2H12
,,,,,,,,,OR1L3,1D9
,,,,,,,,,OR1L3,2A3
,,,,,,,,,OR1L3,2H9
,,,,,,,,,OR1L3,1D10
,,,,,,,,,OR1L3,1E10
,,,,,,,,,OR1L3,1F4
,,,,,,,,,OR1L3,2B10
,,,,,,,,,OR1L3,2H10
,,,,,,,,,OR1L3,3A10
,,,,,,,,,OR1L3,1E11
,,,,,,,,,OR1L3,1F5
,,,,,,,,,OR1L3,1G12
,,,,,,,,,OR1L3,2A6
,,,,,,,,,OR1L3,2C12
,,,,,,,,,OR1L3,2F12
,,,,,,,,,OR1L3,2G6
,,,,,,,,,OR1L3,3A12
,,,,,,,,,OR1L3,1E9
,,,,,,,,,OR1L3,1F3
,,,,,,,,,OR1L3,1G9
,,,,,,,,,OR1L3,2B9
,,,,,,,,,OR1L3,2E10
,,,,,,,,,OR1L4,2H12
,,,,,,,,,OR2A4,1C2
,,,,,,,,,OR2A4,2A2
,,,,,,,,,OR2C3,1H10
,,,,,,,,,OR2C3,1E10
,,,,,,,,,OR2K2,2E2
,,,,,,,,,OR2K2,1A6
,,,,,,,,,OR2K2,2E6
,,,,,,,,,OR2K2,1A2
,,,,,,,,,OR2K2,2G2
,,,,,,,,,OR2K2,2H2
,,,,,,,,,OR2K2,2B6
,,,,,,,,,OR2K2,2H6
,,,,,,,,,OR2K2,2B2
,,,,,,,,,OR2K2,2F8
,,,,,,,,,OR2K2,3B2
,,,,,,,,,OR2K2,1B12
,,,,,,,,,OR2K2,2D6
,,,,,,,,,OR2K2,2G6
,,,,,,,,,OR2K2,3B6
,,,,,,,,,OR2K2,2D2
,,,,,,,,,OR2K2,3A8
,,,,,,,,,OR2K2,1C6
,,,,,,,,,OR2K2,2C12
,,,,,,,,,OR2K2,2F12
,,,,,,,,,OR2K2,1B8
,,,,,,,,,OR2K2,1C2
,,,,,,,,,OR2K2,3A12
,,,,,,,,,OR2K2,2C8
,,,,,,,,,OR2L5,1B9
,,,,,,,,,OR2L5,1A9
,,,,,,,,,OR2L5,1B3
,,,,,,,,,OR2L5,1H9
,,,,,,,,,OR2L5,2C9
,,,,,,,,,OR2L5,2D3
,,,,,,,,,OR2L5,2E9
,,,,,,,,,OR2L5,2F3
,,,,,,,,,OR2L5,2G3
,,,,,,,,,OR2L5,3B3
,,,,,,,,,OR2L5,2C10
,,,,,,,,,OR2L5,1H11
,,,,,,,,,OR2L5,1G8
,,,,,,,,,OR2L5,1H2
,,,,,,,,,OR2L5,2B8
,,,,,,,,,OR2L5,2F8
,,,,,,,,,OR2L5,2G2
,,,,,,,,,OR2L5,2G8
,,,,,,,,,OR2L5,2H8
,,,,,,,,,OR2L5,3B2
,,,,,,,,,OR2L5,1C3
,,,,,,,,,OR2L5,1C9
,,,,,,,,,OR2L5,1D9
,,,,,,,,,OR2L5,1G9
,,,,,,,,,OR2L5,1H3
,,,,,,,,,OR2L5,2A3
,,,,,,,,,OR2L5,2A9
,,,,,,,,,OR2L5,2B9
,,,,,,,,,OR2L5,2C3
,,,,,,,,,OR2L5,2F9
,,,,,,,,,OR2L5,2G9
,,,,,,,,,OR2L5,2H9
,,,,,,,,,OR2L5,3A3
,,,,,,,,,OR2L5,1A10
,,,,,,,,,OR2L5,1B4
,,,,,,,,,OR2L5,1B10
,,,,,,,,,OR2L5,1E10
,,,,,,,,,OR2L5,2B10
,,,,,,,,,OR2L5,2C4
,,,,,,,,,OR2L5,2D4
,,,,,,,,,OR2L5,2D10
,,,,,,,,,OR2L5,2F10
,,,,,,,,,OR2L5,2G4
,,,,,,,,,OR2L5,2G10
,,,,,,,,,OR2L5,2H10
,,,,,,,,,OR2L5,3A4
,,,,,,,,,OR2L5,3A10
,,,,,,,,,OR2L5,3B4
,,,,,,,,,OR2L5,3B10
,,,,,,,,,OR2L5,1B11
,,,,,,,,,OR2L5,1G11
,,,,,,,,,OR2L5,1H5
,,,,,,,,,OR2L5,2A11
,,,,,,,,,OR2L5,2B11
,,,,,,,,,OR2L5,2C11
,,,,,,,,,OR2L5,2D5
,,,,,,,,,OR2L5,2E11
,,,,,,,,,OR2L5,2F5
,,,,,,,,,OR2L5,2F11
,,,,,,,,,OR2L5,2G5
,,,,,,,,,OR2L5,2G11
,,,,,,,,,OR2L5,2H11
,,,,,,,,,OR2L5,3B5
,,,,,,,,,OR2L5,1B12
,,,,,,,,,OR2L5,2B12
,,,,,,,,,OR2L5,1A7
,,,,,,,,,OR2L5,1B1
,,,,,,,,,OR2L5,1B7
,,,,,,,,,OR2L5,1H1
,,,,,,,,,OR2L5,2B7
,,,,,,,,,OR2L5,2C1
,,,,,,,,,OR2L5,2C7
,,,,,,,,,OR2L5,2G1
,,,,,,,,,OR2L5,3B1
,,,,,,,,,OR2L5,1A8
,,,,,,,,,OR2L5,1B2
,,,,,,,,,OR2L5,1B8
,,,,,,,,,OR2L5,1C2
,,,,,,,,,OR2L5,1D8
,,,,,,,,,OR2L5,1H8
,,,,,,,,,OR2L5,2A2
,,,,,,,,,OR2L5,2A8
,,,,,,,,,OR2L5,2C2
,,,,,,,,,OR2L5,2C8
,,,,,,,,,OR2L5,2D2
,,,,,,,,,OR2L5,2D8
,,,,,,,,,OR2L5,2E8
,,,,,,,,,OR2L5,2F2
,,,,,,,,,OR2L5,3A2
,,,,,,,,,OR2L5,3A8
,,,,,,,,,OR2L5,3B8
,,,,,,,,,OR2L5,1E3
,,,,,,,,,OR2L5,1E9
,,,,,,,,,OR2L5,1F3
,,,,,,,,,OR2L5,1F9
,,,,,,,,,OR2L5,2D9
